Restaurant_name,Restaurant Location,Menu,flag
Earls Kitchen and Bar - Legacy West,Plano,"GRILLED SPICY SHRIMP,PEPPER CALAMARI,PEPPER GRILLED GIZZARD,FISHERMAN OKRA WITH CATFISH AND SNAIL,OKRA WITH GOAT,OKRA WITH CATFISH FISH,NKOWBI,ASUN,PEPPER KPOMO,ISI EWU,GRILLED TILAPIA",Africa
Taverna-Legacy West,Plano,"Taverna Focaccia, Chef's Focaccia, Mussels alla Diavola, Meatballs al Sugo, Antipasto Emiliano, Bruschetta al Pomodoro, Squash Zucchini Chips, Squash Zucchini Chips",Italy
Del Frisco's Double Eagle Steak House,Plano,"SEAFOOD TOWER, CAVIAR SERVICE, Hamachi, Petite cold Water Lobster Tail, King Crab, Shrimp Cocktail, Colossal Lump Crab Cocktail, Salmon Poke Roll, Oysters Shucked, Steak Tartare, Tuna Tartare, Pysters Broiled, Shanghai-Style Fried Calamari, Del's Jumbo Lump Crab Cake",America
,Plano,"Serrano Ham,Coppa,Chorizo de Cantimpalo,Lomo Iberico,Salchichon,Idiazabal,Tetilla,Serrano Ham,Mahon,Manchego,Murcia al Vino,Brisket Montaditos,Manchego,Mahon,diazabal",Spain
The Koi Way,Frisco,"WONTON SOUP,the KOI way soup,CHICKEN VEGGIE EGG ROLL,POT STICKER,PORK FRIED WONTON,cheese wonton,CHO CHO BEEF,VEGETABLE SPRING ROLL,sechuan chilli wonton,atomic chicken wing,INDONESIA SOFT NODDLE",Indonesia
TruFire Kitchen and Baar,Frisco,"Vietnamese Pork Roll,Grilled Sate Pork Belly,Grilled Chicken,Grilled Pork,Ham,Stirred Beef Sate,Meat Ball,Fried Eggs,Sardine,Fried Tofu,Egg Rolls,Coconut Juice",Vietnam
Kotta Sushi Lounge,Frisco,"Seaweed Salad, Ika Sansai, Sunomono, Kotta Sashimi Salad, Seared Pepper Tuna Salad, Kotta Sashimi Platter, Six Spices Sashimi, Tuna Tataki, Yellowtail Tataki, Ankimo ""Monk Fish Liver"" Pate",Japan
China Wok,Frisco,"LM1 Vegetable Lo Mein,LM2 Chicken Lo Mein,LM3 Beef Lo Mein,CM1 Vegetable Chow Mein,CM3 Beef Chow Mein,CM4 Shrimp Chow Mein,CM5 House Special Chow Mein,R1 Vegetable Fried Rice,R2 Chicken Fried Rice",China
Noodle Wave,Frisco,"Crab Cream Cheese Rangoon,Crispy Chicken Spring Rolls,Crispy Vegetarian Spring Rolls,Shrimp Blanket,?Herbal Chicken Sriracha Fried Rice,Lunar  Fried Rice,Seafood Fried Rice,Thai Fried Rice,Basil Fried Rice,Curry Fried Rice",Thailand
Perry's Steakhouse and Grille,Frisco,"Classic Avocado Toast,Ham & Cheese,Banana Foster,Chocolate Praline,Jambon Cru Tomato Bruschetta,Charcuterie,Seared Salmon,Spicy Rigatoni,Warm Brie Baguette,Wedge Salad,Lobster Bisque,French Dip,Parisienne Burger,Vegetarian Bourguignon",France
Lombardi Cucina Italiana,Frisco,"Antipasto del Chianti, Clam Pot, Egg Tortello al Tartufo, Wagyu Meatballs, Prime Beef Carpaccio di Manzo, Frittura di Mare, Foie Gras, Wood Grilled Octopus, Greek Salad, Arugala Mista, Buffalo Mozzarella & Pomodoro, Caesar, Soup of the Day, Lobster Bisque",Italy
Mr BahnMi,Frisco,"Vietnamese Pork Roll,Grilled Sate Pork Belly,Grilled Chicken,Grilled Pork,Ham,Stirred Beef Sate,Meat Ball,Fried Eggs,Sardine,Fried Tofu,Egg Rolls,Coconut Juice",Vietnam
Calabar Pot,Frisco,"GRILLED SPICY SHRIMP,PEPPER CALAMARI,PEPPER GRILLED GIZZARD,FISHERMAN OKRA WITH CATFISH AND SNAIL,OKRA WITH GOAT,OKRA WITH CATFISH FISH,NKOWBI,ASUN,PEPPER KPOMO,ISI EWU,GRILLED TILAPIA",Africa
LAW Restaurant,Irving,"WILD ARUGULA, LAW WEDGE, LITTLE GEM, MARKET GREENS, DRY AGED BEEF CHILI, FRIED CALAMARI,JUMBO SHRIMP COCKTAIL, LAW FOCACCIA",America
Pasand Indian Cuisine,Irving,"Samosa, Onion Pakora, MixedVeg-Pakora, Masala Vada Panner Pakora, Chilli Pakora and Gobi Manchuria.Vegetable Korma, Navrathan Korma, Alu Gobi, Chanamasala, Malai Kofta, Bagara Baingan, Okra Fry, Gutti Vankaya Kura, Palak Panner",India
Blaze Brazilian Steakhouse,Irving,"Picanha (Top Sirloin), Jumbo Shrimp Wrapped in Jalape¤o and Bacon, Ribeye, Picanha (Top Sirloin) with Garlic, Bacon Wrapped Jalape¤os, Family Style Sides, Soup of the Day, Farofa, Sauces, Cheese Bread",Brazil
Hugo's Invitados - Las Colinas,Irving,"Ceviche Fresco, Prickly Pear Texas Red Snapper Ceviche, Octopus a la Parrilla, Smoked Salmon Nachos, Barbacoa, Chorizo Hummus, Seared Herb Panela, Veracruz Tuna Tartare, Pork Belly Chicharr¢n, Mexican Avocado Toast",Mexico
Edoko Omakase,Irving,"Crab Cream Cheese Rangoon,Crispy Chicken Spring Rolls,Crispy Vegetarian Spring Rolls,Shrimp Blanket,?Herbal Chicken Sriracha Fried Rice,Lunar  Fried Rice,Seafood Fried Rice,Thai Fried Rice,Basil Fried Rice,Curry Fried Rice",Thailand
Thirsty Lion Gastropub,Irving,"Creamy Queso Dip, California Roll, Spicy Tuna Roll, Bacon Wrapped BBQ Prawns, Hand-Breaded Chicken Tenderloins, Beer Battered Cheese Curds, Grilled Burger Sliders, Spicy Fried Chicken Sliders, Oven Baked Soft Pretzel, Crispy Calamari, Artichoke Spinach Dip",America
